reporting_unit,reporting_unit_type,state,financial_year,year,triage_category,number_of_presentations,number_of_presentations_flag
National,National,NAT,2011-12,2011,Emergency,647788.0,reported
National,National,NAT,2012-13,2012,Emergency,714124.0,reported
National,National,NAT,2013-14,2013,Emergency,785791.0,reported
National,National,NAT,2014-15,2014,Emergency,843443.0,reported
National,National,NAT,2015-16,2015,Emergency,899906.0,reported
National,National,NAT,2016-17,2016,Emergency,970883.0,reported
National,National,NAT,2017-18,2017,Emergency,1043705.0,reported
National,National,NAT,2018-19,2018,Emergency,1136383.0,reported
National,National,NAT,2019-20,2019,Emergency,1158156.0,reported
National,National,NAT,2020-21,2020,Emergency,1256584.0,reported
National,National,NAT,2021-22,2021,Emergency,1333462.0,reported
National,National,NAT,2022-23,2022,Emergency,1431840.0,reported
National,National,NAT,2023-24,2023,Emergency,1527341.0,reported
National,National,NAT,2024-25,2024,Emergency,1608414.0,reported
National,National,NAT,2011-12,2011,Non-Urgent,724396.0,reported
National,National,NAT,2012-13,2012,Non-Urgent,669604.0,reported
National,National,NAT,2013-14,2013,Non-Urgent,791763.0,reported
National,National,NAT,2014-15,2014,Non-Urgent,759209.0,reported
National,National,NAT,2015-16,2015,Non-Urgent,712021.0,reported
National,National,NAT,2016-17,2016,Non-Urgent,719148.0,reported
National,National,NAT,2017-18,2017,Non-Urgent,705993.0,reported
National,National,NAT,2018-19,2018,Non-Urgent,695831.0,reported
National,National,NAT,2019-20,2019,Non-Urgent,731798.0,reported
National,National,NAT,2020-21,2020,Non-Urgent,888635.0,reported
National,National,NAT,2021-22,2021,Non-Urgent,818373.0,reported
National,National,NAT,2022-23,2022,Non-Urgent,596140.0,reported
National,National,NAT,2023-24,2023,Non-Urgent,594774.0,reported
National,National,NAT,2024-25,2024,Non-Urgent,555221.0,reported
National,National,NAT,2011-12,2011,Resuscitation,42634.0,reported
National,National,NAT,2012-13,2012,Resuscitation,45292.0,reported
National,National,NAT,2013-14,2013,Resuscitation,46741.0,reported
National,National,NAT,2014-15,2014,Resuscitation,49035.0,reported
National,National,NAT,2015-16,2015,Resuscitation,52718.0,reported
National,National,NAT,2016-17,2016,Resuscitation,56543.0,reported
National,National,NAT,2017-18,2017,Resuscitation,60642.0,reported
National,National,NAT,2018-19,2018,Resuscitation,64515.0,reported
National,National,NAT,2019-20,2019,Resuscitation,66532.0,reported
National,National,NAT,2020-21,2020,Resuscitation,68811.0,reported
National,National,NAT,2021-22,2021,Resuscitation,67589.0,reported
National,National,NAT,2022-23,2022,Resuscitation,77230.0,reported
National,National,NAT,2023-24,2023,Resuscitation,84010.0,reported
National,National,NAT,2024-25,2024,Resuscitation,86831.0,reported
National,National,NAT,2011-12,2011,Semi-Urgent,2923231.0,reported
National,National,NAT,2012-13,2012,Semi-Urgent,2971536.0,reported
National,National,NAT,2013-14,2013,Semi-Urgent,3100559.0,reported
National,National,NAT,2014-15,2014,Semi-Urgent,3130356.0,reported
National,National,NAT,2015-16,2015,Semi-Urgent,3110520.0,reported
National,National,NAT,2016-17,2016,Semi-Urgent,3153383.0,reported
National,National,NAT,2017-18,2017,Semi-Urgent,3201449.0,reported
National,National,NAT,2018-19,2018,Semi-Urgent,3275094.0,reported
National,National,NAT,2019-20,2019,Semi-Urgent,3127982.0,reported
National,National,NAT,2020-21,2020,Semi-Urgent,3293576.0,reported
National,National,NAT,2021-22,2021,Semi-Urgent,3184019.0,reported
National,National,NAT,2022-23,2022,Semi-Urgent,3135480.0,reported
National,National,NAT,2023-24,2023,Semi-Urgent,3116670.0,reported
National,National,NAT,2024-25,2024,Semi-Urgent,3050990.0,reported
National,National,NAT,2011-12,2011,Urgent,2200172.0,reported
National,National,NAT,2012-13,2012,Urgent,2310691.0,reported
National,National,NAT,2013-14,2013,Urgent,2464328.0,reported
National,National,NAT,2014-15,2014,Urgent,2578398.0,reported
National,National,NAT,2015-16,2015,Urgent,2686516.0,reported
National,National,NAT,2016-17,2016,Urgent,2851977.0,reported
National,National,NAT,2017-18,2017,Urgent,3002488.0,reported
National,National,NAT,2018-19,2018,Urgent,3176986.0,reported
National,National,NAT,2019-20,2019,Urgent,3148837.0,reported
National,National,NAT,2020-21,2020,Urgent,3297859.0,reported
National,National,NAT,2021-22,2021,Urgent,3383378.0,reported
National,National,NAT,2022-23,2022,Urgent,3557510.0,reported
National,National,NAT,2023-24,2023,Urgent,3692750.0,reported
National,National,NAT,2024-25,2024,Urgent,3789676.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011-12,2011,Emergency,2151.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012-13,2012,Emergency,2081.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013-14,2013,Emergency,2221.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014-15,2014,Emergency,2451.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015-16,2015,Emergency,3323.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016-17,2016,Emergency,3458.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017-18,2017,Emergency,3476.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018-19,2018,Emergency,4011.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019-20,2019,Emergency,4260.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020-21,2020,Emergency,4438.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021-22,2021,Emergency,5150.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2022-23,2022,Emergency,6084.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2023-24,2023,Emergency,6962.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2024-25,2024,Emergency,9468.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011-12,2011,Non-Urgent,3757.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012-13,2012,Non-Urgent,2611.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013-14,2013,Non-Urgent,2401.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014-15,2014,Non-Urgent,1906.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015-16,2015,Non-Urgent,1668.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016-17,2016,Non-Urgent,1802.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017-18,2017,Non-Urgent,1918.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018-19,2018,Non-Urgent,2443.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019-20,2019,Non-Urgent,2351.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2020-21,2020,Non-Urgent,2363.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2021-22,2021,Non-Urgent,2232.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2022-23,2022,Non-Urgent,2059.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2023-24,2023,Non-Urgent,2201.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2024-25,2024,Non-Urgent,1335.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2011-12,2011,Resuscitation,329.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2012-13,2012,Resuscitation,213.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2013-14,2013,Resuscitation,188.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2014-15,2014,Resuscitation,238.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2015-16,2015,Resuscitation,313.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2016-17,2016,Resuscitation,317.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2017-18,2017,Resuscitation,267.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2018-19,2018,Resuscitation,241.0,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,2019-20,2019,Resuscitation,184.0,reported
