reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,triage_category,number_of_presentations,number_of_presentations_flag,pct_seen_on_time,pct_seen_on_time_flag,peer_group_avg_pct,peer_group_avg_pct_flag
National,National,NAT,,2011-12,2011,Emergency,644112.0,reported,0.8,reported,,reported
National,National,NAT,,2012-13,2012,Emergency,710966.0,reported,0.82,reported,,reported
National,National,NAT,,2013-14,2013,Emergency,781363.0,reported,0.82,reported,,reported
National,National,NAT,,2014-15,2014,Emergency,839117.0,reported,0.79,reported,,reported
National,National,NAT,,2015-16,2015,Emergency,895191.0,reported,0.77,reported,,reported
National,National,NAT,,2016-17,2016,Emergency,963042.0,reported,0.77,reported,,reported
National,National,NAT,,2017-18,2017,Emergency,1035004.0,reported,0.76,reported,,reported
National,National,NAT,,2018-19,2018,Emergency,1126609.0,reported,0.75,reported,,reported
National,National,NAT,,2019-20,2019,Emergency,1148190.0,reported,0.75,reported,,reported
National,National,NAT,,2020-21,2020,Emergency,1244959.0,reported,0.71,reported,,reported
National,National,NAT,,2021-22,2021,Emergency,1319427.0,reported,0.65,reported,,reported
National,National,NAT,,2022-23,2022,Emergency,1417163.0,reported,0.64,reported,,reported
National,National,NAT,,2023-24,2023,Emergency,1511363.0,reported,0.67,reported,,reported
National,National,NAT,,2024-25,2024,Emergency,1592671.0,reported,0.68,reported,,reported
National,National,NAT,,2011-12,2011,Non-Urgent,570228.0,reported,0.89,reported,,reported
National,National,NAT,,2012-13,2012,Non-Urgent,533469.0,reported,0.91,reported,,reported
National,National,NAT,,2013-14,2013,Non-Urgent,602814.0,reported,0.92,reported,,reported
National,National,NAT,,2014-15,2014,Non-Urgent,586020.0,reported,0.92,reported,,reported
National,National,NAT,,2015-16,2015,Non-Urgent,558568.0,reported,0.93,reported,,reported
National,National,NAT,,2016-17,2016,Non-Urgent,565144.0,reported,0.92,reported,,reported
National,National,NAT,,2017-18,2017,Non-Urgent,552918.0,reported,0.92,reported,,reported
National,National,NAT,,2018-19,2018,Non-Urgent,547201.0,reported,0.91,reported,,reported
National,National,NAT,,2019-20,2019,Non-Urgent,595901.0,reported,0.93,reported,,reported
National,National,NAT,,2020-21,2020,Non-Urgent,743714.0,reported,0.93,reported,,reported
National,National,NAT,,2021-22,2021,Non-Urgent,676414.0,reported,0.92,reported,,reported
National,National,NAT,,2022-23,2022,Non-Urgent,479868.0,reported,0.88,reported,,reported
National,National,NAT,,2023-24,2023,Non-Urgent,471935.0,reported,0.89,reported,,reported
National,National,NAT,,2024-25,2024,Non-Urgent,440453.0,reported,0.89,reported,,reported
National,National,NAT,,2011-12,2011,Resuscitation,42371.0,reported,1.0,reported,,reported
National,National,NAT,,2012-13,2012,Resuscitation,45124.0,reported,1.0,reported,,reported
National,National,NAT,,2013-14,2013,Resuscitation,46446.0,reported,1.0,reported,,reported
National,National,NAT,,2014-15,2014,Resuscitation,48791.0,reported,1.0,reported,,reported
National,National,NAT,,2015-16,2015,Resuscitation,52478.0,reported,1.0,reported,,reported
National,National,NAT,,2016-17,2016,Resuscitation,56284.0,reported,1.0,reported,,reported
National,National,NAT,,2017-18,2017,Resuscitation,60267.0,reported,1.0,reported,,reported
National,National,NAT,,2018-19,2018,Resuscitation,64077.0,reported,1.0,reported,,reported
National,National,NAT,,2019-20,2019,Resuscitation,66125.0,reported,1.0,reported,,reported
National,National,NAT,,2020-21,2020,Resuscitation,68478.0,reported,1.0,reported,,reported
National,National,NAT,,2021-22,2021,Resuscitation,67310.0,reported,1.0,reported,,reported
National,National,NAT,,2022-23,2022,Resuscitation,76820.0,reported,1.0,reported,,reported
National,National,NAT,,2023-24,2023,Resuscitation,83508.0,reported,0.99,reported,,reported
National,National,NAT,,2024-25,2024,Resuscitation,86202.0,reported,1.0,reported,,reported
National,National,NAT,,2011-12,2011,Semi-Urgent,2683679.0,reported,0.7,reported,,reported
National,National,NAT,,2012-13,2012,Semi-Urgent,2747466.0,reported,0.72,reported,,reported
National,National,NAT,,2013-14,2013,Semi-Urgent,2886480.0,reported,0.75,reported,,reported
National,National,NAT,,2014-15,2014,Semi-Urgent,2924280.0,reported,0.74,reported,,reported
National,National,NAT,,2015-16,2015,Semi-Urgent,2905764.0,reported,0.74,reported,,reported
National,National,NAT,,2016-17,2016,Semi-Urgent,2926274.0,reported,0.74,reported,,reported
National,National,NAT,,2017-18,2017,Semi-Urgent,2963696.0,reported,0.73,reported,,reported
National,National,NAT,,2018-19,2018,Semi-Urgent,3029610.0,reported,0.73,reported,,reported
National,National,NAT,,2019-20,2019,Semi-Urgent,2912350.0,reported,0.76,reported,,reported
National,National,NAT,,2020-21,2020,Semi-Urgent,3060035.0,reported,0.73,reported,,reported
National,National,NAT,,2021-22,2021,Semi-Urgent,2922195.0,reported,0.7,reported,,reported
National,National,NAT,,2022-23,2022,Semi-Urgent,2849161.0,reported,0.68,reported,,reported
National,National,NAT,,2023-24,2023,Semi-Urgent,2841186.0,reported,0.7,reported,,reported
National,National,NAT,,2024-25,2024,Semi-Urgent,2778213.0,reported,0.7,reported,,reported
National,National,NAT,,2011-12,2011,Urgent,2135937.0,reported,0.66,reported,,reported
National,National,NAT,,2012-13,2012,Urgent,2250212.0,reported,0.68,reported,,reported
National,National,NAT,,2013-14,2013,Urgent,2403918.0,reported,0.7,reported,,reported
National,National,NAT,,2014-15,2014,Urgent,2516811.0,reported,0.68,reported,,reported
National,National,NAT,,2015-16,2015,Urgent,2621809.0,reported,0.67,reported,,reported
National,National,NAT,,2016-17,2016,Urgent,2771035.0,reported,0.66,reported,,reported
National,National,NAT,,2017-18,2017,Urgent,2911234.0,reported,0.64,reported,,reported
National,National,NAT,,2018-19,2018,Urgent,3073793.0,reported,0.63,reported,,reported
National,National,NAT,,2019-20,2019,Urgent,3049239.0,reported,0.67,reported,,reported
National,National,NAT,,2020-21,2020,Urgent,3181413.0,reported,0.63,reported,,reported
National,National,NAT,,2021-22,2021,Urgent,3233118.0,reported,0.58,reported,,reported
National,National,NAT,,2022-23,2022,Urgent,3392030.0,reported,0.58,reported,,reported
National,National,NAT,,2023-24,2023,Urgent,3526930.0,reported,0.61,reported,,reported
National,National,NAT,,2024-25,2024,Urgent,3615178.0,reported,0.61,reported,,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011-12,2011,Emergency,2117.0,reported,0.77,reported,0.8,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012-13,2012,Emergency,2045.0,reported,0.84,reported,0.83,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013-14,2013,Emergency,2182.0,reported,0.85,reported,0.85,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014-15,2014,Emergency,2435.0,reported,0.81,reported,0.83,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015-16,2015,Emergency,3280.0,reported,0.8,reported,0.83,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016-17,2016,Emergency,3389.0,reported,0.83,reported,0.81,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017-18,2017,Emergency,3416.0,reported,0.81,reported,0.8,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018-19,2018,Emergency,3930.0,reported,0.8,reported,0.79,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019-20,2019,Emergency,4199.0,reported,0.71,reported,0.77,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020-21,2020,Emergency,4375.0,reported,0.76,reported,0.73,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021-22,2021,Emergency,5087.0,reported,0.66,reported,0.68,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2022-23,2022,Emergency,5972.0,reported,0.61,reported,0.66,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2023-24,2023,Emergency,6899.0,reported,0.63,reported,0.69,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2024-25,2024,Emergency,9406.0,reported,0.71,reported,0.69,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2011-12,2011,Non-Urgent,2961.0,reported,0.89,reported,0.88,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2012-13,2012,Non-Urgent,2112.0,reported,0.93,reported,0.9,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2013-14,2013,Non-Urgent,1956.0,reported,0.91,reported,0.91,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2014-15,2014,Non-Urgent,1584.0,reported,0.92,reported,0.92,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2015-16,2015,Non-Urgent,1343.0,reported,0.95,reported,0.92,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2016-17,2016,Non-Urgent,1474.0,reported,0.93,reported,0.91,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2017-18,2017,Non-Urgent,1667.0,reported,0.95,reported,0.91,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2018-19,2018,Non-Urgent,2102.0,reported,0.93,reported,0.91,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2019-20,2019,Non-Urgent,2027.0,reported,0.94,reported,0.92,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2020-21,2020,Non-Urgent,2121.0,reported,0.94,reported,0.91,reported
Albury Wodonga Health [Albury Campus],Hospital,NSW,Large regional hospitals,2021-22,2021,Non-Urgent,2050.0,reported,0.97,reported,0.9,reported
