reporting_unit,reporting_unit_type,state,peer_group,financial_year,year,patient_cohort,number_of_presentations,number_of_presentations_flag,median_time,p90_time,peer_group_avg_p90_time
National,National,NAT,,2011-12,2011,All patients,6547342.0,reported,2 hrs 58 mins,8 hrs 28 mins,
National,National,NAT,,2012-13,2012,All patients,6717067.0,reported,2 hrs 53 mins,7 hrs 56 mins,
National,National,NAT,,2013-14,2013,All patients,7195903.0,reported,2 hrs 40 mins,7 hrs 5 mins,
National,National,NAT,,2014-15,2014,All patients,7366442.0,reported,2 hrs 41 mins,7 hrs 2 mins,
National,National,NAT,,2015-16,2015,All patients,7465869.0,reported,2 hrs 44 mins,6 hrs 53 mins,
National,National,NAT,,2016-17,2016,All patients,7755606.0,reported,2 hrs 48 mins,7 hrs 0 mins,
National,National,NAT,,2017-18,2017,All patients,8017492.0,reported,2 hrs 53 mins,7 hrs 14 mins,
National,National,NAT,,2018-19,2018,All patients,8352192.0,reported,2 hrs 58 mins,7 hrs 29 mins,
National,National,NAT,,2019-20,2019,All patients,8236159.0,reported,2 hrs 56 mins,7 hrs 30 mins,
National,National,NAT,,2020-21,2020,All patients,8808357.0,reported,3 hrs 1 mins,8 hrs 0 mins,
National,National,NAT,,2021-22,2021,All patients,8789877.0,reported,3 hrs 20 mins,9 hrs 10 mins,
National,National,NAT,,2022-23,2022,All patients,8800919.0,reported,3 hrs 39 mins,10 hrs 32 mins,
National,National,NAT,,2023-24,2023,All patients,9015901.0,reported,3 hrs 42 mins,10 hrs 45 mins,
National,National,NAT,,2024-25,2024,All patients,9091379.0,reported,3 hrs 48 mins,11 hrs 16 mins,
National,National,NAT,,2011-12,2011,Not subsequently admitted patients,4653488.0,reported,2 hrs 18 mins,5 hrs 39 mins,
National,National,NAT,,2012-13,2012,Not subsequently admitted patients,4818032.0,reported,2 hrs 19 mins,5 hrs 34 mins,
National,National,NAT,,2013-14,2013,Not subsequently admitted patients,5176809.0,reported,2 hrs 7 mins,5 hrs 1 mins,
National,National,NAT,,2014-15,2014,Not subsequently admitted patients,5187072.0,reported,2 hrs 8 mins,4 hrs 54 mins,
National,National,NAT,,2015-16,2015,Not subsequently admitted patients,5268774.0,reported,2 hrs 13 mins,5 hrs 1 mins,
National,National,NAT,,2016-17,2016,Not subsequently admitted patients,5378013.0,reported,2 hrs 16 mins,5 hrs 7 mins,
National,National,NAT,,2017-18,2017,Not subsequently admitted patients,5523548.0,reported,2 hrs 21 mins,5 hrs 18 mins,
National,National,NAT,,2018-19,2018,Not subsequently admitted patients,5759032.0,reported,2 hrs 26 mins,5 hrs 30 mins,
National,National,NAT,,2019-20,2019,Not subsequently admitted patients,5705418.0,reported,2 hrs 23 mins,5 hrs 35 mins,
